   33 Polyhymnia         E. Bowell        8.55  0.33 0.86               0   0   0   0   0   0 43639  255 20000605  21.117061 338.479172   8.796905  1.869773 0.33508343   2.87028718 20000301 8.5E-02  1.7E-04 20000417 2.0E-01 20001124 2.0E-01 20001124 1.9E-01 20001124
   34 Circe              E. Bowell        8.51  0.15 0.70 113.5 C       0   0   0   0   0   0 49618  563 20000605  22.629875 330.516927 184.565790  5.500809 0.10750952   2.68602562 20000326 5.7E-02 -4.0E-04 20000417 6.0E-02 20010627 7.3E-02 20090322 7.3E-02 20090322
   35 Leukothea          E. Bowell        8.5   0.15 0.70 103.1 C       0   0   0   0   0   0 51153  554 20000605 339.808189 214.284823 353.869773  7.938494 0.22722061   2.99159357 20000403 7.5E-02 -3.6E-04 20000417 6.6E-02 20010727 8.3E-02 20050225 8.6E-02 20100204
   36 Atalante           E. Bowell        8.46  0.15 0.73 105.6         0   0   0   0   0   0 48710  126 20000605 247.262315  47.319095 358.525557 18.416933 0.30250839   2.74870942 19990822 1.5E-01  8.0E-04 20000417 1.9E-01 20000628 3.4E-01 20011120 3.4E-01 20011120
   37 Fides              E. Bowell        7.29  0.24 0.84 108.3 S       0   0   0   0   0   0 52500  650 20000605 197.942934  62.971399   7.470585  3.072191 0.17576774   2.64220462 19990827 5.1E-02  2.9E-04 20000417 6.5E-02 20000621 7.5E-02 20070124 7.5E-02 20070124
   38 Leda               E. Bowell        8.32  0.15 0.72 115.9 C       0   0   0   0   0   0 52568  445 20000605 306.993530 168.287407 296.004833  6.950933 0.15316924   2.74251766 20000118 3.0E-02  2.4E-05 20000417 8.5E-02 20001223 9.4E-02 20060226 9.3E-02 20060226
   39 Laetitia           E. Bowell        6.1   0.15 0.89 149.5 S       0   0   0   0   0   0 49494 3590 20000605 265.939888 208.585672 157.236558 10.368475 0.11151788   2.76962497 19991005 2.3E-02  1.4E-04 20000417 2.9E-02 20000614 3.7E-02 20011014 3.7E-02 20011014
   40 Harmonia           E. Bowell        7.0   0.15 0.85 107.6 S       0   0   0   0   0   9 49190 3139 20000605 276.174773 269.084045  94.318944  4.256249 0.04607132   2.26734128 19991120 2.2E-02  1.6E-04 20000417 3.7E-02 20000707 4.2E-02 20070805 4.2E-02 20070805
   41 Daphne             E. Bowell        7.12  0.10 0.73 174.0 C       0   0   0   0   0   0 48593  367 20000605  92.972941  46.066920 178.338796 15.770553 0.27434137   2.76133449 20000129 4.2E-02  7.8E-05 20000417 8.2E-02 20001009 1.7E-01 20030315 1.7E-01 20030315
   42 Isis               E. Bowell        7.53  0.15 0.88 100.2 S       0   0   0   0   0   9 52494  724 20000605 222.530578 235.984478  84.572973  8.538427 0.22407118   2.44074716 20000326 3.3E-02 -1.8E-04 20000417 6.4E-02 20010527 7.5E-02 20090810 7.5E-02 20090810
